compound_id,smiles_raw,iupac_name,lcms_text,provenance_file,provenance_sheet,provenance_row,flag_asterisk
Example 372,CC1=C(N)N=C2/N=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)[C@@H](C3=NC=CC=N3)C3CC3)=C/C2=C1,"7-amino-N-((R)-cyclopropyl(2- pyrimidinyl)methyl)-6-methyl-N-((5- (trifluoromethyl)-2-pyridinyl)methyl)-l,8- naphthyridine-3 -carboxamide",494.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,74,nan
Example 373,NC1=C(Br)C=C2/C=C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)[C@@H](C3=NC=CC=N3)C3CC3)\C=N/C2=N1,"7-amino-6-bromo-N-((R)-cyclopropyl(2- py rimidiny l)methy 1) -N-((5 - (trifluoromethy 1) - 2 -py ridiny l)methy 1) -1,8 -naphthy ridine -3 - carboxamide",558/560,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,75,nan
Example 374,CC1=CC2=C(/C=N\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@H](C)C3=NC=CC=N3)=C/2)N=C1N,"2-amino-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methy 1)-1,7-naphthyridine-6- carboxamide",468,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,76,nan
Example 375,CCOC1=CC=C(CN(C(=O)C2=C/C3=C(\C=C/2)N=C(N)C(C)=C3)[C@H](C)C2=NC=CC=N2)N=C1,2-amino-N-((5-ethoxy-2-pyridinyl)methyl)-3- methyl-N-((lR)-l -(2-pyrimidinyl)ethy 1)-6- quinolinecarboxamide,443.3,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,77,nan
Example 376,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=NC=C(OC4CC4)C=C3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,2-amino-N-((5-(cyclopropyloxy)-2- pyridiny l)methy 1) -3 -methy 1-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,455,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,78,nan
Example 377,CCOC1=NN=C(CN(C(=O)C2=C/C3=CC(C)=C(N)N=C3/C=C\2)[C@H](C)C2=NC=CC=N2)C=C1,2 -amino -N-((6-ethoxy-3 -py ridaziny l)methy 1) - 3-methyl-N-((lR)-l -(2-pyrimidinyl)ethy 1)-6- quinolinecarboxamide,444.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,79,nan
Example 378,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=NN=C(NCC(F)(F)F)C=C3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,"2-amino-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-N-((6-((2,2,2- trifluoroethyl)amino)-3-pyridazinyl)methyl)- 6-quinolinecarboxamide",497.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,80,nan
Example 379,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C(F)F)C=N1)C(=O)C1=CC2=C/C(Cl)=C(N)\N=C\2N=C1,"7-amino-6-chloro-N-((5-(difluoromethy 1)-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",470,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,81,nan
Example 380,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)F)N=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,2-amino-N-((6-(difluoromethyl)-3- pyridazinyl)methyl)-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,450,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,82,nan
Example 381,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C(F)F)C=N1)C(=O)C1=CC2=C/C(Cl)=C(N)\N=C\2C=C1,2-amino-3-chloro-N-((5-(difluoromethy 1)-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,469.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,83,nan
Example 382,CCOC1=CC=C(CN(C(=O)C2=CC3=C/C(Br)=C(N)/N=C\3N=C2)[C@H](C)C2=NC=CC=N2)N=N1,"7-amino-6-bromo-N-((6-ethoxy -3 - pyridazinyl)methyl)-N-((lR)-l-(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",509.0/511.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,84,nan
Example 383,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(F)C=N3)CC3=CC=C(C(F)(F)F)C=N3)=C/C2=C1,2 -amino -N-((5 -fluoro -2 -py ridiny l)methy 1) -3 - methy l-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,470.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,85,nan
Example 384,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3=C(F)C=C(F)C=N3)=C/C2=C1,"2 -amino -N-((3,5 -difluoro -2- pyridiny l)methy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide",488.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,86,nan
Example 385,CC1=C(N)/N=C2\C=CC(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@H](C)C3=C(F)C=CC=N3)=C\C2=C\1,2-amino-N-((lR)-l-(3-fluoro-2- pyridiny l)ethy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,484.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,87,nan
Example 386,CC1=C(N)/N=C2\C=CC(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@@H](C)C3=C(F)C=CC=N3)=C\C2=C\1,2-amino-N-((lS)-l-(3-fluoro-2- pyridiny l)ethy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,484.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,88,nan
Example 387,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=NC=C(F)C=C3F)CC3=C(F)C=CC=N3)=C/C2=C1,"2 -amino -N- ((3,5 -difluoro -2- py ridiny l)methy 1) -N- ((3 -fluoro -2- pyridinyl)methyl)-3-methyl-6- quinolinecarboxamide",438.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,89,nan
Example 388,C[C@H](C1=C(F)C=CC=N1)N(CC1=CC=C(C(F)(F)F)C=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/N=C\1,"7-amino-6-bromo-N-((lR)-l-(3-fluoro-2- pyridinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-l,8-naphthyridine-3- carboxamide",549.0/551.0,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,90,nan
Example 389,CC1=C(N)N=C2/N=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@H](C)C3=C(F)C=CC=N3)=C/C2=C1,"7-amino-N-((lR)-l-(3-fluoro-2- pyridinyl)ethyl)-6-methyl-N-((5- (trifluoromethyl)-2-pyridinyl)methyl)-l,8- naphthyridine-3 -carboxamide",485.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,91,nan
Example 390,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@@H]3CCCC4=CC=CN=C43)=C/C2=C1,"2-amino-3-methyl-N-((8R)-5,6,7,8-tetrahydro- 8-quinolinyl)-N-((5-(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide",492.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,92,nan
Example 391,CC1=C(N)/N=C2\C=CC(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3F)[C@H](C)C3=NC=CC=C3F)=C\C2=C\1,2-amino-N-((lR)-l-(3-fluoro-2- pyridinyl)ethyl)-N-((3-fluoro-5- (trifluoromethyl)-2-pyridinyl)methy 1)-3- methyl-6-quinolinecarboxamide,502.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,93,nan
Example 392,CC1=CC([C@@H](C)N(CC2=CC=C(C(F)(F)F)C=N2)C(=O)C2=C/C3=CC(C)=C(N)N=C3/C=C\2)=NO1,"2-amino-3-methyl-N-((lR)-l-(5-methyl-l,2- oxazol-3-yl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide",470.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,94,nan
Example 393,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=NC=CC=C3F)[C@H](C)C3=CC=C(C(F)(F)F)C=N3)=C/C2=C1,2-amino-N-((3-fluoro-2-pyridinyl)methyl)-3- methyl-N-((lR)-l -(5-(trifluoromethy 1)-2- pyridinyl)ethyl)-6-quinolinecarboxamide,484.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,95,nan
Example 394,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(Br)C=N3)[C@H](C)C3=NC=CC=C3Cl)=C/C2=C1,2-amino-N-((5-bromo-2-pyridinyl)methyl)-N- ((lR)-l-(3-chloro-2-pyridinyl)ethyl)-3- methyl-6-quinolinecarboxamide,510/512,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,96,nan
Example 395,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)N=N3)[C@@H]3CCC4=C/C=C/N=C\43)=C/C2=C1,"2-amino-N-((7R)-6,7-dihydro-5H- cyclopenta[b]pyridin-7-yl)-3-methyl-N-((6- (trifluoromethyl)-3-pyridazinyl)methyl)-6- quinolinecarboxamide",479,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,97,nan
Example 396,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=C(Cl)C=C(C(F)(F)F)C=N3)[C@H](C)C3=NC=CC=C3F)=C/C2=C1,2-amino-N-((3-chloro-5-(trifluoromethyl)-2- py ridiny l)methy 1) -N-(( 1R) -1-(3 -fluoro -2- pyridinyl)ethy 1)-3 -methy 1-6- quinolinecarboxamide,518,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,98,nan
Example 397,C[C@H](C1=C(F)C=CC=N1)N(CC1=CC=C(C(F)(F)F)N=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/N=C\1,"7-amino-6-bromo-N-(( 1R) -1-(3-fluoro-2- pyridinyl)ethyl)-N-((6-(trifluoromethyl)-3- py ridaziny l)methy 1) -1,8-naphthy ridine -3 - carboxamide",550.0/552.0,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,99,nan
Example 398,[2H]C([2H])([2H])C1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC(C)C)=C/C2=C1,2-amino-N-isobutyl-3-(methyl-d3)-N-((5- (trifluoromcthyl)pyridin-2- yl)methyl)quinoline-6-carboxamide,420.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,100,nan
Example 399,[2H]C([2H])([2H])C1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,(R)-2-amino-3-(methyl-d3)-N-(l-(pyrimidin-2-yl)ethyl)-N-((5-(trifluoromethyl)pyridin-2- yl)methyl)quinoline-6-carboxamide,470.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,101,nan
Example 400,CC1=C(N)/N=C2\C=CC(C(=O)N(CC3=CC=C(Br)C=N3)[C@H](C)C3=C(F)C=CC=N3)=C\C2=C\1,2-amino-N-((5-bromo-2-pyridinyl)methyl)-N- ((1R)-1 -(3 -fluoro-2-pyridiny l)ethy 1)-3 -methy 1- 6-quinolinecarboxamide,494.0/496.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,102,nan
Example 401,CC1=C(N)/N=C2\C=CC(C(=O)N(CC3=CC=C(Cl)C=N3)[C@H](C)C3=C(F)C=CC=N3)=C\C2=C\1,2-amino-N-((5-chloro-2-pyridinyl)methyl)-N- ((1R)-1 -(3 -fluoro-2-pyridiny l)ethy 1)-3 -methy 1- 6-quinolinecarboxamide,450,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,103,nan
Example 402,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(Br)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,2-amino-N-((5-bromo-2-pyridinyl)methyl)-3- methyl-N-((lR)-l -(2-pyrimidinyl)ethy 1)-6- quinolinecarboxamide,477/479,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,104,nan
Example 403,COC(=O)C1=CC=C(CN(C(=O)C2=CC3=C\C(C)=C(N)/N=C\3C=C2)[C@H](C)C2=C(F)C=CC=N2)N=C1,methyl 6-((((2-amino-3 -methy 1-6- quinolinyl)carbonyl)((lR)-l-(3-fluoro-2- pyridinyl)ethyl)amino)methyl)-3- pyridinecarboxylate,474,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,105,nan
Example 404,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=CC=C(C#N)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,2-amino-N-((5-cyano-2-pyridinyl)methyl)-7- fluoro-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,442,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,106,nan
Example 405,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C#N)C=N3)[C@H](C)C3=CC=CC=C3F)=C/C2=C1,2-amino-N-((5-cyano-2-pyridinyl)methyl)-N- ((1R)-1-(2 -fluorophenyl)ethyl)-3-methy 1-6- quinolinecarboxamide,440,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,107,nan
Example 406,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C#N)C=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/N=C\1,"7-amino-6-bromo-N-((5-cyano-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",489/91,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,108,nan
Example 407,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C(F)F)C=N1)C(=O)C1=CC2=C/C(Br)=C(N)\N=C\2N=C1,"7-amino-6-bromo-N-((5-(difluoromethyl)-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",513 515,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,109,nan
Example 408,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C#N)C=N1)C(=O)C1=C/C2=CC(Cl)=C(N)N=C2/C=C\1,2-amino-3-chloro-N-((5-cy ano -2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,444,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,110,nan
Example 409,CC1=C(N)N=C2/N=C\C(C(=O)N(CC3=CC=C(C(F)F)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,"7-amino-N-((5 -(difluoromethyl) -2- pyridinyl)methyl)-6-methyl-N-((lR)-l-(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",450,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,111,nan
Example 410,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C(F)F)C=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/C=C\1,2-amino-3-bromo-N-((5-(difluoromethyl)-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,513/515,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,112,nan
Example 411,COC1=CC=C(CN(C(=O)C2=C/C3=CC(Br)=C(N)N=C3/C=C\2)[C@H](C)C2=NC=CC=N2)N=N1,2-amino-3-bromo-N-((6-methoxy-3- pyridazinyl)methyl)-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,494/496,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,113,nan
Example 412,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(Cl)C=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/C=C\1,2 -amino -3-bromo-N-((5-chloro-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,497/499,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,114,nan
Example 413,COC1=CC=C(CN(C(=O)C2=C/C3=CC(Cl)=C(N)N=C3/C=C\2)[C@H](C)C2=NC=CC=N2)N=N1,2-amino-3-chloro-N-((6-methoxy-3- pyridazinyl)methyl)-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,450,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,115,nan
Example 414,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(Cl)C=N1)C(=O)C1=CC2=C/C(Br)=C(N)\N=C\2N=C1,"7-amino-6-bromo-N-((5-chloro-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",498/500,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,116,nan
Example 415,CC1=C(N)\N=C2\C=C(F)C(C(=O)N(CC3=CC=C(Cl)C=N3)[C@H](C)C3=NC=CC=N3)=C\C2=C\1,2-amino-N-((5-chloro-2-pyridinyl)methyl)-7- fluoro-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,451,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,117,nan
Example 416,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(Br)N=N3)[C@@H]3CCCN4N=CN=C34)=C/C2=C1,"2-amino-N-((6-bromo-3-pyridazinyl)methyl)- 3-methyl-N-((8R)-5,6,7,8- tetrahydro[l,2,4]triazolo[l,5-a]pyridin-8-yl)- 6-quinolinecarboxamide",493/495,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,118,nan
Example 417,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C#N)C=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/C=C\1,2-amino-3-bromo-N-((5-cyano-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,488/490,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,119,nan
Example 418,CC1=CC2=C/C(C(=O)N(CC3=CC=C(C#N)C=N3)[C@H](C)C3=NC=CC=N3)=N/C=C\2N=C1N,"2-amino-N-((5-cyano-2-pyridinyl)methyl)-3- methyl-N-((lR)-l-(2-pyrimidinyl)ethyl)-l,7- naphthyridine-6-carboxamide",425.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,120,nan
Example 419,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C(F)(F)F)C=N1)C(=O)C1=NC=C2/N=C(N)\C(Br)=C/C2=C1,"2-amino-3 -bromo-N-(( 1R)-1 -(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methy 1)-1,7-naphthyridine-6- carboxamide",532.0/534.0,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,121,nan
Example 420,C[C@H](C1=NC=CC=N1)N(CC1=NC=C(C(F)(F)F)C=C1)C(=O)C1=C/C2=CC(Cl)=C(N)N=C2/N=C\1,"7-amino-6-chloro-N-((lR)-l-(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- py ridiny l)methy 1) -1,8-naphthy ridine -3 - carboxamide",490,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,122,nan
Example 421,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=CC=C(C#N)C=N3)[C@@H](C3=NC=CC=N3)C3CC3)=C/C2=C1,2-amino-N-((5-cyano-2-pyridinyl)methyl)-N- ((R)-cyclopropyl(2-pyrimidinyl)methyl)-7- fluoro-3-methyl-6-quinolinecarboxamide,468,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,123,nan
Example 422,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C(F)(F)F)C=N1)C(=O)C1=N/C=C2/N=C(N)C(Cl)=C/C2=C\1,"2 -amino -3 -chloro -N-(( 1R) -1-(2 - pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methy 1)-1,7-naphthyridine-6- carboxamide",488,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,124,nan
Example 423,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C#N)C=N3)[C@@H](C3=NC=CC=N3)C3CC3)=C/C2=C1,2-amino-N-((5-cyano-2-pyridinyl)methyl)-N- ((R)-cyclopropyl(2-pyrimidinyl)methyl)-3- methyl-6-quinolinecarboxamide,450,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,125,nan
Example 424,C[C@H](C1=C(F)C=CC=N1)N(CC1=CC=C(Br)N=N1)C(=O)C1=CC2=C/C(Br)=C(N)/N=C\2N=C1,"7-amino-6-bromo-N-((6-bromo-3- pyridazinyl)methyl)-N-((lR)-l-(3-fluoro-2- pyridinyl)ethyl)-l,8-naphthyridine-3- carboxamide",561.8,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,126,nan
Example 425,N#CC1=CC=C(CN(C(=O)C2=C/C3=CC(Br)=C(N)N=C3/N=C\2)[C@@H](C2=NC=CC=N2)C2CC2)N=C1,"(R) -7-amino-6-bromo-N-((5 -cyanopyridin-2- yl)methyl)-N-(cyclopropyl(pyrimidin-2- yl)methyl)-l,8-naphthyridine-3-carboxamide",514.8/516.8,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,127,nan
Example 426,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(OC2COC2)C=N1)C(=O)C1=CC2=C/C(Br)=C(N)\N=C\2N=C1,"7-amino-6-bromo-N-((5-(3-oxetanyloxy)-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",536/538,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,128,nan
Example 427,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(OC4COC4)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,2-amino-3-methyl-N-((5-(3-oxetanyloxy)-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,471,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,129,nan
Example 428,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)[C@H](C)C3=CC=C(Cl)C=N3)=C/C2=C1,2-amino-N-((lR)-l-(5-chloro-2- pyridiny l)ethy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,500.3,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,130,nan
Example 429,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,2-amino-7-fluoro-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,485.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,131,nan
Example 430,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)C3(C4=NC=CC=N4)CC3)=C/C2=C1,2-amino-3-methyl-N-(l-(2- pyrimidiny l)cy clopropy 1) -N-((5 - (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,479.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,132,nan
Example 431,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=NC=C(C#N)C=C3)[C@H](C)C3=NC=C(F)C=C3F)=C/C2=C1,"2-amino-N-((5-cyano-2-pyridinyl)methyl)-N- ((1R) -1 - (3,5 -difluoro-2-pyridiny l)ethy 1) -3 - methyl-6-quinolinecarboxamide",459.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,133,nan
Example 432,CC1=C2/C=C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)[C@H](C)C3=NC=CC=N3)\C=C/C2=NC(N)=C1,2-amino-4-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,467.2,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,134,nan
Example 433,C[C@H](C1=NC=CC=N1)N(CC1=NC=C(C(F)(F)F)C=C1)C(=O)C1=C/C2=C(Cl)C=C(N)N=C2/C=C\1,2 -amino -4 -chloro -N-(( 1R) -1-(2 - pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,487.3,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,135,nan
Example 434,C[C@H](C1=NC=CC=N1)N(CC1=NC=C(C(F)(F)F)C=C1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/C=C\1,2-amino-3 -bromo-N-(( 1R)-1 -(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,531/533,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,136,nan
Example 435,C[C@H](C1=NC=CS1)N(CC1=CC=C(Br)N=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/C=C\1,"2-amino-3-bromo-N-((6-bromo-3- py ridaziny l)methy 1) -N-((1R)-1-(1,3 -thiazol-2 - yl)ethyl)-6-quinolinecarboxamide",549,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,137,nan
Example 436,CC1=C(N)N=C2/C=C(Cl)\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC(C)C)=C/C2=C1,2-amino-7-chloro-3-methyl-N-(2- methylpropyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,451.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,138,nan
Example 437,CC1=C(N)N=C2/C=C(Cl)\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,2-amino-7-chloro-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,501.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,139,nan
Example 438,CC1=C(N)N=C2/C=C(Cl)\C(C(=O)N(CC3=CC=C(C#N)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,2-amino-7-chloro-N-((5-cy ano -2- pyridiny l)methy 1) -3 -methy 1-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide,458.1,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,140,nan
